code,origValue,total,lemma20180417_1243,lemma20180418_0913,lemma20180416_0825,word20180413_0920,word20180416_1241,word20180417_1554
Undefined,induced,3,0,0,0,1,1,1
Undefined,lines,3,0,0,0,1,1,1
Undefined,element,2,0,0,0,1,1,0
Undefined,class,2,0,0,0,1,1,0
Undefined,property,2,0,0,0,1,1,0
Undefined,ordered,1,0,0,0,1,0,0
Undefined,downloaded,4,0,0,0,1,1,2
Undefined,equations,3,0,0,0,1,1,1
Undefined,solutions,3,0,0,0,1,1,1
Undefined,problems,3,0,0,0,1,1,1
Undefined,deﬁne,2,0,0,0,0,1,1
Undefined,ln,1,0,0,0,0,1,0
Undefined,exp,1,0,0,0,0,1,0
Undefined,paths,1,0,0,0,0,1,0
Undefined,ui,1,0,0,0,0,1,0
Undefined,generated,1,0,0,0,0,1,0
Undefined,functions,1,0,0,0,0,1,0
Undefined,maximum,2,0,0,0,0,1,1
Undefined,perfect,1,0,0,0,0,1,0
Undefined,minimum,1,0,0,0,0,1,0
Undefined,matching,1,0,0,0,0,1,0
Undefined,left,2,0,0,0,0,1,1
Undefined,linear,1,0,0,0,0,0,1
Undefined,integer,1,0,0,0,0,0,1
Undefined,satisfies,1,0,0,0,0,0,1
Undefined,cycles,1,0,0,0,0,0,1
Undefined,smooth,1,0,0,0,0,0,1
