code,total,number theoryTotalAsCode2,algebraTotalAsCode2,graph theoryTotalAsCode2,UndefinedTotalAsCode2,undefinedTotalAsCode2,set theoryTotalAsCode2,analysisTotalAsCode2,20180417_1243runTotal,number theoryTotalAsCode2Run20180417_1243,algebraTotalAsCode2Run20180417_1243,graph theoryTotalAsCode2Run20180417_1243,UndefinedTotalAsCode2Run20180417_1243,undefinedTotalAsCode2Run20180417_1243,set theoryTotalAsCode2Run20180417_1243,analysisTotalAsCode2Run20180417_1243,20180418_0913runTotal,number theoryTotalAsCode2Run20180418_0913,algebraTotalAsCode2Run20180418_0913,graph theoryTotalAsCode2Run20180418_0913,UndefinedTotalAsCode2Run20180418_0913,undefinedTotalAsCode2Run20180418_0913,set theoryTotalAsCode2Run20180418_0913,analysisTotalAsCode2Run20180418_0913,20180416_0825runTotal,number theoryTotalAsCode2Run20180416_0825,algebraTotalAsCode2Run20180416_0825,graph theoryTotalAsCode2Run20180416_0825,UndefinedTotalAsCode2Run20180416_0825,undefinedTotalAsCode2Run20180416_0825,set theoryTotalAsCode2Run20180416_0825,analysisTotalAsCode2Run20180416_0825,20180413_0920runTotal,number theoryTotalAsCode2Run20180413_0920,algebraTotalAsCode2Run20180413_0920,graph theoryTotalAsCode2Run20180413_0920,UndefinedTotalAsCode2Run20180413_0920,undefinedTotalAsCode2Run20180413_0920,set theoryTotalAsCode2Run20180413_0920,analysisTotalAsCode2Run20180413_0920,20180416_1241runTotal,number theoryTotalAsCode2Run20180416_1241,algebraTotalAsCode2Run20180416_1241,graph theoryTotalAsCode2Run20180416_1241,UndefinedTotalAsCode2Run20180416_1241,undefinedTotalAsCode2Run20180416_1241,set theoryTotalAsCode2Run20180416_1241,analysisTotalAsCode2Run20180416_1241,20180417_1554runTotal,number theoryTotalAsCode2Run20180417_1554,algebraTotalAsCode2Run20180417_1554,graph theoryTotalAsCode2Run20180417_1554,UndefinedTotalAsCode2Run20180417_1554,undefinedTotalAsCode2Run20180417_1554,set theoryTotalAsCode2Run20180417_1554,analysisTotalAsCode2Run20180417_1554
graph theory,14177,0,0,0,14177,0,0,0,962,0,0,0,962,0,0,0,611,0,0,0,611,0,0,0,731,0,0,0,731,0,0,0,3688,0,0,0,3688,0,0,0,4141,0,0,0,4141,0,0,0,4044,0,0,0,4044,0,0,0
Undefined,73891,841,30824,36421,0,1144,108,4553,13716,0,4977,7450,0,0,0,1289,14067,0,4535,7754,0,123,0,1655,13947,398,4609,7384,0,1021,0,535,10990,0,7442,3314,0,0,0,234,10537,443,3925,5934,0,0,0,235,10634,0,5336,4585,0,0,108,605
