paperID,mscCodes,mscGraphTheoryYesNo,graphTheory,Undefined,undefinedasCode2,analysisasCode2,graph theoryasCode2,algebraasCode2,UndefinedasCode2,number theoryasCode2,20180417_1243code1,20180417_1243code2,20180418_0913code1,20180418_0913code2,20180416_0825code1,20180416_0825code2
5aae07c0cf58f123cfc83ccd,,,0,5,0,0,5,0,0,0,Undefined,graph theory,Undefined,graph theory,,
5ab33fa6cf58f1934f3041f1,,,1,4,0,0,4,0,1,0,Undefined,graph theory,,,Undefined,graph theory
5ab1248bcf58f161356975cc,,,0,6,0,0,0,6,0,0,Undefined,algebra,,,Undefined,algebra
5ab1247acf58f1613569758c,,,3,6,0,0,6,0,3,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5a9f32cecf58f10b91996fef,,,0,5,0,0,0,5,0,0,Undefined,algebra,,,,
5a13eb39cf58f1152c5cf9f1,,,0,4,0,4,0,0,0,0,Undefined,analysis,,,,
5ab29db0cf58f1535042a0ab,,,3,4,0,0,4,0,3,0,Undefined,graph theory,,,Undefined,graph theory
5a9fe981cf58f14fadd7cc88,,,0,7,0,2,0,5,0,0,Undefined,algebra,Undefined,analysis,,
5ab29144cf58f125f8bf8446,,,0,4,0,0,0,4,0,0,Undefined,algebra,,,,
5ab2c81bcf58f165abc1d3ef,,,4,4,0,0,4,0,4,0,Undefined,graph theory,graph theory,Undefined,Undefined,graph theory
5a4bddd0cf58f117e3ca266e,,,3,0,0,0,0,0,3,0,graph theory,Undefined,,,,
5a4bc8c5cf58f11006272cf6,,,0,8,0,0,8,0,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5a25a25dcf58f111bfdaa241,,,0,3,0,2,0,1,0,0,Undefined,analysis,,,,
5a259444cf58f10bae30eab1,,,0,6,0,0,0,6,0,0,Undefined,algebra,Undefined,algebra,,
5aae4dd5cf58f13b6915d971,,,0,9,0,0,9,0,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5aaaa6b8cf58f16fbae45087,,,0,6,0,0,4,2,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,algebra
5aaeef91cf58f170c867b7a4,,,3,6,0,0,6,0,3,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5a2d3726cf58f1b1aaab86b1,,,2,4,0,0,4,0,2,0,Undefined,graph theory,Undefined,graph theory,,
5a9fcd4ccf58f145899799a4,53C22 58F19 ,No,0,4,0,0,0,4,0,0,Undefined,algebra,,,,
5973a0cecf58f1640ccfb878,,,0,5,0,0,5,0,0,0,Undefined,graph theory,,,Undefined,graph theory
5aae400acf58f136c71d9275,,,0,7,0,0,1,6,0,0,Undefined,algebra,Undefined,algebra,,
